GTD_Number,Country,Year,terroristattacks,CountryName,CountryCode,GDP_Per_Capita,Population,cyear,ccode,scode,polity2,emonth,eday,eyear,NumberConflicts,conflictbinary,lnpop,post_gwot,postxconflict,post_numconflicts,muslimpop,muslimdec,post_muslim,domesticattacks,intlattacks,unknown,annualdompercent,annualintpercent,reviseddom,revisedint,colonial,interstate,civil,intcivil,totalcivil,unique,oneyearlag,domunknown,intunknown,usintervention,ukintervention,franceintervention,civil1k,intcivil1k,intcivboth1k,intwest,lngdp
152,"",1989,0,Oman,OMN,5380.22964126387,1741965,6981989,698,OMA,-10,,,,0,0,14.3705244064331,0,0,0,87.6999969482422,0.876999974250794,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1521989,,0,0,0,0,0,0,0,0,0,8.59048652648926
24,"",1989,0,Bermuda,BMU,25517.9217212488,58841,,,"",,,,,0,0,10.9825944900513,0,0,0,0.800000011920929,0.00800000037997961,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,241989,,0,0,0,0,0,0,0,0,0,10.1471366882324
192,"",1989,0,Sint Maarten (Dutch part),SXM,,27676,,,"",,,,,0,0,10.2283210754395,0,0,0,0,0,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1921989,0,0,0,0,0,0,0,0,0,0,
206,"",1989,0,Tonga,TON,1120.09158111809,94943,,,"",,,,,0,0,11.4610319137573,0,0,0,0.100000001490116,0.00100000004749745,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,2061989,,0,0,0,0,0,0,0,0,0,7.02116584777832
192,"",1989,0,St. Martin (French part),MAF,,27676,,,"",,,,,0,0,10.2283210754395,0,0,0,0,0,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1921989,,0,0,0,0,0,0,0,0,0,
125,"",1989,0,Isle of Man,IMN,,,,,"",,,,,0,0,,0,0,0,0.200000002980232,0.0020000000949949,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1251989,,0,0,0,0,0,0,0,0,0,
114,"",1989,0,Liechtenstein,LIE,39429.1075942046,28405,,,"",,,,,0,0,10.2543201446533,0,0,0,4.80000019073486,0.0480000004172325,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1141989,,0,0,0,0,0,0,0,0,0,10.5822591781616
79,"",1989,0,Greenland,GRL,16813.7414501107,55300,,,"",,,,,0,0,10.9205284118652,0,0,0,0.100000001490116,0.00100000004749745,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,791989,,0,0,0,0,0,0,0,0,0,9.72995185852051
134,"",1989,0,Mongolia,MNG,1670.69443056208,2141006,7121989,712,MON,-7,,,,0,0,14.5767860412598,0,0,0,4.40000009536743,0.0439999997615814,0,0,0,0,0.757615864276886,0.242384105920792,0,0,1,1,1,1,1,1341989,,0,0,0,0,0,0,0,0,0,7.42099475860596
152,"",1990,0,Oman,OMN,6448.13485342449,1812159,6981990,698,OMA,-10,,,,0,0,14.4100294113159,0,0,0,87.6999969482422,0.876999974250794,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,1521990,0,0,0,0,0,0,0,0,0,0,8.77154636383057
134,"",1990,0,Mongolia,MNG,1172.4430658221,2184145,7121990,712,MON,2,7,29,1990,0,0,14.5967350006104,0,0,0,4.40000009536743,0.0439999997615814,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,1341990,0,0,0,0,0,0,0,0,0,0,7.06684494018555
114,"",1990,0,Liechtenstein,LIE,49452.387381395,28745,,,"",,,,,0,0,10.2662191390991,0,0,0,4.80000019073486,0.0480000004172325,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,1141990,0,0,0,0,0,0,0,0,0,0,10.808765411377
206,"",1990,0,Tonga,TON,1193.49904970367,95152,,,"",,,,,0,0,11.463231086731,0,0,0,0.100000001490116,0.00100000004749745,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,2061990,0,0,0,0,0,0,0,0,0,0,7.08464479446411
24,"",1990,0,Bermuda,BMU,26841.5197383946,59326,,,"",,,,,0,0,10.9908027648926,0,0,0,0.800000011920929,0.00800000037997961,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,241990,0,0,0,0,0,0,0,0,0,0,10.1977052688599
125,"",1990,0,Isle of Man,IMN,,,,,"",,,,,0,0,,0,0,0,0.200000002980232,0.0020000000949949,0,0,0,0,0.730663537979126,0.269336462020874,0,0,1,1,1,1,1,1251990,0,0,0,0,0,0,0,0,0,0,
