"","X.1","X","DyadId","ConflictId","Location","SideA","SideA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","Year","IntensityLevel","GWNoA","GWNoA2nd","GWNoB","GWNoB2nd","GWNoLoc","Region","South.East.Asia","Version","RelID","RelIDComm","RelIncomp","Jihadist","JihadistRebel","Demand","Med","MedComm","Region.1","East.Asia","Claim.Type","Few.to.many.demands","General.to.specific.aspirations","Unity.to.division","medrel","Nonrelincomp","mednonrel","jihadmed","nonjihadist","nonjihadistmed","relnonjihadmed","count","region","continent","StartYear","Duration","Period","post2001","rebstrength","obs","medlag","logdur","Terror_SideB","internationalized","noninternationalized","intermed","nonintermed"
"1",1,1,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1989,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,20,1,0,NA,323,NA,2.99573227355399,0,0,1,0,0
"2",2,2,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1990,2,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,21,1,0,NA,324,0,3.04452243772342,0,0,1,0,0
"3",3,3,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1991,2,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,22,1,0,NA,325,0,3.09104245335832,0,0,1,0,0
"4",4,4,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1992,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,23,1,0,NA,326,0,3.13549421592915,0,0,1,0,0
"5",5,5,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1993,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,24,1,0,NA,327,0,3.17805383034795,0,0,1,0,0
"6",6,6,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1994,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,25,1,0,NA,328,0,3.2188758248682,0,0,1,0,0
"7",7,7,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1995,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,26,2,0,NA,329,0,3.25809653802148,0,0,1,0,0
"8",8,8,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1997,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,28,2,0,NA,330,0,3.3322045101752,0,0,1,0,0
"9",9,9,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",1999,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,30,2,0,NA,331,0,3.40119738166216,0,0,1,0,0
"10",10,10,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2000,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,31,3,0,NA,332,0,3.43398720448515,0,0,1,0,0
"11",11,11,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2001,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,32,3,0,NA,333,0,3.46573590279973,0,0,1,0,0
"12",12,12,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2002,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,33,3,1,NA,334,0,3.49650756146648,0,0,1,0,0
"13",13,13,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2003,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,34,3,1,NA,335,0,3.52636052461616,0,0,1,0,0
"14",14,14,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2004,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,35,3,1,NA,336,0,3.55534806148941,0,0,1,0,1
"15",15,15,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2005,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,36,4,1,NA,337,1,3.58351893845611,0,0,1,0,1
"16",16,16,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2006,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,37,4,1,NA,338,1,3.61091791264422,0,0,1,0,1
"17",17,17,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2007,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,38,4,1,NA,339,1,3.63758615972639,0,0,1,0,0
"18",18,18,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2008,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,39,4,1,NA,340,0,3.66356164612965,0,0,1,0,1
"19",19,19,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2009,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,40,4,1,NA,341,1,3.68887945411394,0,0,1,0,1
"20",20,20,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2010,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1969,41,5,1,NA,342,1,3.71357206670431,0,0,1,0,0
